movieCd,link,image,userRating
20196244,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140649,https://ssl.pstatic.net/imgmovie/mdi/mit110/1406/140649_P11_111034.jpg,5.84
20185352,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181414,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181414_P24_174349.jpg,6.82
20197423,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181419,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181419_P28_165542.jpg,4.86
20183773,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180381,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180381_P17_103533.jpg,8.27
20198403,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181912,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181912_P10_135327.jpg,8.98
20196025,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163787,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163787_P33_174808.jpg,8.94
20197092,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182348,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182348_P02_174720.jpg,9.30
20198146,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171533,https://ssl.pstatic.net/imgmovie/mdi/mit110/1715/171533_P29_143351.jpg,8.67
20197846,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153580,https://ssl.pstatic.net/imgmovie/mdi/mit110/1535/153580_P24_103637.jpg,5.78
20175407,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161984,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161984_P61_144815.jpg,3.94
20166301,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152624,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152624_P34_161443.jpg,5.93
20197483,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182407,https://ssl.pstatic.net/imgmovie/mdi/mit110/1824/182407_P00_105405.jpg,8.29
20197283,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180425,https://ssl.pstatic.net/imgmovie/mdi/mit110/1804/180425_P19_175210.jpg,7.63
20197356,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179974,https://ssl.pstatic.net/imgmovie/mdi/mit110/1799/179974_P01_153621.jpg,8.82
20198603,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169263,https://ssl.pstatic.net/imgmovie/mdi/mit110/1692/169263_P01_094955.jpg,7.93
20197617,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149022,https://ssl.pstatic.net/imgmovie/mdi/mit110/1490/149022_P12_110503.jpg,6.94
20184574,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171539,https://ssl.pstatic.net/imgmovie/mdi/mit110/1715/171539_P26_135622.jpg,9.61
20196601,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182360,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182360_P11_140223.jpg,8.59
20182530,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167651,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167651_P106_141030.jpg,8.53
20185881,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177374,https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177374_P100_112832.jpg,9.07
20177539,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167099,https://ssl.pstatic.net/imgmovie/mdi/mit110/1670/167099_P13_101134.jpg,7.20
20196723,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182206,https://ssl.pstatic.net/imgmovie/mdi/mit110/1822/182206_P12_121114.jpg,8.63
20180937,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148909,https://ssl.pstatic.net/imgmovie/mdi/mit110/1489/148909_P29_164758.jpg,8.77
20177282,https://movie.naver.com/movie/bi/mi/basic.nhn?code=170953,https://ssl.pstatic.net/imgmovie/mdi/mit110/1709/170953_P08_140411.jpg,8.10
20176442,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159070,https://ssl.pstatic.net/imgmovie/mdi/mit110/1590/159070_P13_114738.jpg,3.84
20195743,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181959,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181959_P11_114544.jpg,6.37
20195791,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167629,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167629_P17_105046.jpg,4.50
20186261,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109193,https://ssl.pstatic.net/imgmovie/mdi/mit110/1091/109193_P21_103935.jpg,9.24
20188282,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66728,https://ssl.pstatic.net/imgmovie/mdi/mit110/0667/66728_P38_102726.jpg,8.71
20195915,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181411,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181411_P02_101349.jpg,7.39
20020222,https://movie.naver.com/movie/bi/mi/basic.nhn?code=33930,https://ssl.pstatic.net/imgmovie/mdi/mit110/0339/C3930-06.jpg,8.86
20185576,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181409,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181409_P30_100656.jpg,6.58
20184888,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151151,https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151151_P24_105029.jpg,8.18
20174169,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169078,https://ssl.pstatic.net/imgmovie/mdi/mit110/1690/169078_P66_101231.jpg,5.89
20180868,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164173,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164173_P45_171744.jpg,6.08
20162003,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48233,https://ssl.pstatic.net/imgmovie/mdi/mit110/0482/48233_P05_140218.jpg,8.29
20185478,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181554,https://ssl.pstatic.net/imgmovie/mdi/mit110/1815/181554_P23_112202.jpg,8.75
